TRIP;MODE;ALFA;BETA;CL;CD;CM25;CYAW;CROLL;CY
6;ALFA;-1.0;0.0;0.2038246913580247;0.06561481481481482;0.1191432098765432;0.00048641975308641976;-0.0038987654320987654;-0.00019012345679012346
6;ALFA;0.0;0.0;0.3094028037383178;0.06527570093457945;0.1058080996884735;0.0003333333333333333;-0.0030062305295950153;-0.0003489096573208722
6;ALFA;1.0;0.0;0.42114845679012347;0.0656388888888889;0.09178919753086422;0.0002376543209876543;-0.003900925925925926;-0.00012006172839506174
6;ALFA;2.0;0.0;0.5267833333333333;0.06809166666666665;0.08028981481481481;0.0006425925925925926;-0.0029037037037037043;0.000698148148148148
6;ALFA;3.0;0.0;0.5267833333333333;0.06809166666666665;0.08028981481481481;0.0006425925925925926;-0.0029037037037037043;0.000698148148148148
6;ALFA;4.0;0.0;0.7425715151515151;0.07606606060606061;0.05233151515151515;0.0008296969696969696;-0.003732424242424242;0.001220909090909091
6;ALFA;5.0;0.0;0.8504293209876543;0.08153456790123456;0.03761111111111112;0.0009067901234567901;-0.003928086419753086;0.0013123456790123454
6;ALFA;6.0;0.0;0.9550126543209877;0.08838333333333331;0.015935185185185212;0.000899074074074074;-0.003553086419753086;0.0012768518518518528
6;ALFA;7.0;0.0;1.057775;0.09694166666666666;-0.010658333333333329;0.0009333333333333333;-0.0036333333333333335;0.00030000000000000014
6;ALFA;8.0;0.0;1.1583186915887849;0.10659221183800623;-0.037114330218068536;0.0009280373831775702;-0.003368847352024922;-0.0005124610591900312
6;ALFA;9.0;0.0;1.2536396226415094;0.11841698113207547;-0.0663641509433962;0.0013251572327044028;-0.003552201257861635;-0.0008937106918239001
6;ALFA;10.0;0.0;1.344237920489297;0.13111100917431193;-0.0985324159021407;0.0009908256880733944;-0.0036266055045871557;0.0001321100917431187
6;ALFA;11.0;0.0;1.4280686073059359;0.1441898401826484;-0.1294751141552512;0.0008918949771689486;-0.0021015981735159873;-0.0007035388127853947
6;ALFA;12.003333333333332;0.0;1.4402666666666668;0.1724;-0.1849333333333333;-0.0010666666666666667;-0.010966666666666666;-0.011733333333333333
6;ALFA;13.0;0.0;1.4217228758169937;0.20231938997821353;-0.23185904139433552;0.001629847494553378;-0.0018505446623093616;-0.0026038126361655756
6;ALFA;14.0;0.0;1.4549409090909091;0.2264969696969697;-0.24406969696969694;0.0026712121212121207;0.0032863636363636363;-0.0015560606060606064
6;ALFA;15.0;0.0;1.481259490740741;0.25163379629629634;-0.26620462962962965;0.0037516203703703713;0.010624305555555564;0.0018136574074074084
6;ALFA;15.5;0.0;1.4933714285714286;0.2638347826086957;-0.2748055900621118;0.003346376811594203;0.012147619047619044;0.0009927536231884076
6;ALFA;16.0;0.0;1.5056472222222221;0.2752763888888889;-0.28509861111111107;0.0032689814814814812;0.012672222222222218;0.0008379629629629631
6;ALFA;16.5;0.0;1.5220128514056224;0.2880935742971887;-0.29575180722891564;0.003210441767068273;0.013177911646586344;-0.00012248995983935203
6;ALFA;17.0;0.0;1.533625925925926;0.3005231481481481;-0.30417314814814816;0.00297037037037037;0.014156481481481482;0.00013055555555555542
12;ALFA;-4.0;0.0;-0.12277852760736195;0.07461523517382414;0.15293026584867075;0.0011399795501022493;-0.0032533742331288347;-0.0014399795501022494
12;ALFA;-3.0;0.0;-0.012935276073619653;0.07030143149284253;0.14154805725971373;0.0008642126789366053;-0.0037938650306748468;-0.0011574642126789367
12;ALFA;-2.0;0.0;0.09309761904761904;0.06698571428571429;0.13280238095238095;0.0006166666666666666;-0.0030952380952380953;-0.00014999999999999996
12;ALFA;-1.0;0.0;0.20615168195718653;0.06525045871559633;0.1281565749235474;0.00036666666666666667;-0.00377217125382263;-0.0003770642201834862
12;ALFA;0.0;0.0;0.31140000000000007;0.06454444444444445;0.11583703703703703;0.0003814814814814815;-0.0028777777777777777;-0.0007222222222222223
12;ALFA;1.0;0.0;0.4247666666666666;0.06532345679012345;0.10268395061728394;0.0002209876543209876;-0.002990123456790123;-0.0001333333333333334
12;ALFA;2.0;0.0;0.5333377675840978;0.06826937365500058;0.08802974289273983;0.00046722165590667113;-0.0030942972024011776;0.0005233944954128439
12;ALFA;3.0;0.0;0.6419088685015291;0.07121529051987768;0.07337553516819573;0.0007134556574923547;-0.0031984709480122327;0.0011801223241590213
12;ALFA;4.0;0.0;0.7530787037037037;0.07571481481481482;0.059228703703703714;0.0008648148148148149;-0.003490740740740741;0.001347222222222222
12;ALFA;5.0;0.0;0.8621168195718654;0.08124311926605504;0.04183577981651376;0.0009131498470948012;-0.0033773700305810396;0.0015446483180428135
12;ALFA;6.0;0.0;0.9687882716049382;0.08795493827160494;0.021617901234567898;0.0009018518518518518;-0.0029858024691358028;0.0015672839506172837
12;ALFA;7.0;0.0;1.0763320987654321;0.09632530864197532;-0.0031567901234568043;0.0008253086419753086;-0.0031160493827160495;0.0008925925925925921
12;ALFA;8.0;0.0;1.1823878504672896;0.10647943925233644;-0.03462679127725856;0.0008953271028037381;-0.0031105919003115265;7.165109034267926e-05
12;ALFA;9.0;0.0;1.2848916666666665;0.11763827160493827;-0.06157808641975306;0.0013327160493827163;-0.002857098765432099;-0.0001416666666666671
12;ALFA;10.0;0.0;1.385611214953271;0.1301202492211838;-0.09566915887850466;0.0010258566978193148;-0.0030367601246105926;0.0006526479750778818
12;ALFA;11.0;0.0;1.4828553459119498;0.14294088050314466;-0.13183396226415098;0.0007465408805031451;-0.00199874213836478;0.00016918238993710686
12;ALFA;12.0;0.0;1.5750716510903426;0.15752616822429907;-0.15347943925233645;0.0013124610591900311;-0.0020177570093457943;0.0001529595015576322
12;ALFA;13.0;0.0;1.6657248427672955;0.17426572327044024;-0.18313679245283018;0.0011720125786163522;-0.002317610062893082;-0.0006163522012578616
12;ALFA;14.0;0.0;1.749423153692615;0.19324570858283435;-0.22634670658682637;0.0012159680638722547;-0.0013978043912175652;8.10379241517001e-05
12;ALFA;15.0;0.0;1.8186960372960372;0.21251398601398602;-0.24695874125874126;0.0008139860139860142;-0.001260372960372961;0.0015939393939393936
12;ALFA;15.5;0.0;1.813788322717622;0.23121528662420382;-0.27732823779193205;0.0009078556263269635;-0.0004683651804670918;0.0016373673036093421
12;ALFA;16.0;0.0;1.786874193548387;0.2546344086021505;-0.31345806451612895;0.0011139784946236565;-0.0009612903225806383;0.0005569892473118346
12;ALFA;16.5;0.0;1.7913790697674419;0.27210271317829454;-0.3347988372093023;0.0009112403100775199;-0.0025848837209302288;-0.001401937984496119
12;ALFA;17.0;0.0;1.7993441860465118;0.2903294573643411;-0.3516302325581395;0.000707751937984496;-0.0038930232558139558;-0.003349612403100777
17;ALFA;-4.0;0.0;-0.11961538461538468;0.07431435897435897;0.14283589743589745;0.0010846153846153848;-0.003917435897435897;-0.00042564102564102607
17;ALFA;-3.0;0.0;-0.00980552147239269;0.06981912065439674;0.140339672801636;0.0009287321063394684;-0.005385685071574642;0.0006410020449897748
17;ALFA;-2.0;0.0;0.09773672839506171;0.06687253086419755;0.12640185185185185;0.0006398148148148147;-0.0044666666666666665;0.0011225308641975309
17;ALFA;-1.0;0.0;0.20693149847094802;0.06517920489296636;0.11801253822629969;0.0005516819571865443;-0.004507951070336392;0.0013229357798165138
17;ALFA;0.0;0.0;0.3058842105263158;0.06434736842105263;0.10491052631578948;0.0004;-0.003998245614035088;0.0010596491228070176
17;ALFA;1.0;0.0;0.4688666666666667;0.06623333333333332;0.08903333333333334;0.0004;-0.0047;0.0013666666666666669
17;ALFA;2.0;0.0;0.537629357798165;0.06696605504587157;0.07705596330275229;0.0005498470948012231;-0.003165443425076452;0.0019871559633027522
17;ALFA;3.0;0.0;0.6498063455657492;0.07119105221429381;0.0644193396760675;0.0006647383622154264;-0.0037759315890814357;0.0022707384754785363
17;ALFA;4.0;0.0;0.7619833333333335;0.07541604938271605;0.05178271604938271;0.0007796296296296297;-0.0043864197530864195;0.002554320987654321
17;ALFA;5.0;0.0;0.8716037037037038;0.08117222222222222;0.03543148148148148;0.0008722222222222223;-0.004112962962962962;0.002875925925925926
17;ALFA;6.0;0.0;0.9812749743589744;0.08790297435897436;0.016666256410256413;0.0009124102564102564;-0.004049641025641025;0.0029430769230769233
